headlines,body
आजै सहमति जुटाउने भन्दै यातायात व्यवसायी र सरकारबीच तेस्रो चरणको वार्ता जारी,भोलि हुने भनिए पनि यातायात व्यवसायी र सरकारबीच आजै तेस्रो चरणको वार्ता सुरु भएको छ । गृहमन्त्री रमेश लेखकको निर्देशनपछि आजै दुई पक्षबीच तेस्रो चरणको वार्ता सुरु भएको हो ।
दलित बस्तीको बाटो बन्द गरी मन्दिरमा पर्खाल,सिरहाको विष्णुपुर गाउँपालिका–४ स्थित थलहामा दलित बस्तीको बाटो नै छेकेर मन्दिरमा पर्खाल लगाउने काम भइरहेको पाइएको छ । गाउँमा रहेको दुर्गा मन्दिरमा छेउकै दलित बस्तीको आवागमन नै अवरुद्ध हुने गरी पर्खाल लगाउने काम भइरहेको हो ।
साइकल : स्वस्थ संसारको यात्रा ,"सन् १८१७ मा काठको फ्रेम भएको साधारण आविष्कारबाट सुरु भएको साइकल आजको आधुनिक र उच्च–प्रदर्शन क्षमतायुक्त मोडलसम्म आइपुगेको छ । जबजब विश्व सहरी भीडभाड, जलवायु परिवर्तन र बढ्दो स्वास्थ्य समस्यासँग जुझिरहेको हुन्छ, साइकल एक सवारीसाधन मात्र नभई दिगोपन, स्वास्थ्य र सिर्जनशीलताको प्रतीकका रूपमा पुनःस्थापित हुँदै छ । "
भिजिट भिसा प्रकरणको छानबिन गर्न गृहमन्त्रीले राजीनामा गर्नुपर्छ : रास्वपा,राष्ट्रिय स्वतन्त्र पार्टीले भिजिट भिसा प्रकरणलाई निष्पक्ष छानबिन हुन दिनका लागि गृहमन्त्री रमेश लेखकले राजीनामा गर्नुपर्ने निष्कर्ष निकालेको छ ।
"लन्डन, ग्लास्गो र आयरल्यान्डबाट नेपाली दर्शक डन्डीमा","नेपाल र स्कटल्यान्डबीच विश्वकप क्रिकेट लिग–२ को खेल हेर्न डन्डीमा बेलायतका विभिन्न स्थानबाट दर्शक ओइरिएका छन् । फोर्थहिलमा इंग्ल्यान्डको लन्डन, लिभरपुलसहित स्कटल्यान्डको ग्लास्गो, एडेनब्रोबाट नेपालको खेल हेर्न दर्शक डन्डी आइपुगेका हुन् । आयरल्यान्डबाट दर्शकहरू नेपालको खेल हेर्न आएका छन् ।"
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/news/2025/06/02/today-the-third-round-of-negotiations-between-the-transport-industry-and-the-government-continues-to-reach-an-agreement-52-55.html"" onclick=""gaEvent('Kantipur Top News','Clicked','आजै सहमति जुटाउने भन्दै यातायात व्यवसायी र सरकारबीच तेस्रो चरणको वार्ता जारी')"">आजै सहमति जुटाउने भन्दै यातायात व्यवसायी र सरकारबीच तेस्रो चरणको वार्ता जारी</a></h2>",भोलि हुने भनिए पनि यातायात व्यवसायी र सरकारबीच आजै तेस्रो चरणको वार्ता सुरु भएको छ । गृहमन्त्री रमेश लेखकको निर्देशनपछि आजै दुई पक्षबीच तेस्रो चरणको वार्ता सुरु भएको हो ।
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/pradesh-2/2025/06/02/a-wall-in-the-temple-blocking-the-way-to-the-dalit-settlement-40-48.html"" onclick=""gaEvent('Kantipur Top News','Clicked','दलित बस्तीको बाटो बन्द गरी मन्दिरमा पर्खाल')"">दलित बस्तीको बाटो बन्द गरी मन्दिरमा पर्खाल</a></h2>",सिरहाको विष्णुपुर गाउँपालिका–४ स्थित थलहामा दलित बस्तीको बाटो नै छेकेर मन्दिरमा पर्खाल लगाउने काम भइरहेको पाइएको छ । गाउँमा रहेको दुर्गा मन्दिरमा छेउकै दलित बस्तीको आवागमन नै अवरुद्ध हुने गरी पर्खाल लगाउने काम भइरहेको हो ।
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/opinion/2025/06/02/pedal-journey-09-28.html"" onclick=""gaEvent('Kantipur Top News','Clicked','साइकल : स्वस्थ संसारको यात्रा ')"">साइकल : स्वस्थ संसारको यात्रा </a></h2>","सन् १८१७ मा काठको फ्रेम भएको साधारण आविष्कारबाट सुरु भएको साइकल आजको आधुनिक र उच्च–प्रदर्शन क्षमतायुक्त मोडलसम्म आइपुगेको छ । जबजब विश्व सहरी भीडभाड, जलवायु परिवर्तन र बढ्दो स्वास्थ्य समस्यासँग जुझिरहेको हुन्छ, साइकल एक सवारीसाधन मात्र नभई दिगोपन, स्वास्थ्य र सिर्जनशीलताको प्रतीकका रूपमा पुनःस्थापित हुँदै छ । "
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/news/2025/06/02/the-home-minister-should-resign-to-investigate-the-visit-visa-issue-rsp-58-27.html"" onclick=""gaEvent('Kantipur Top News','Clicked','भिजिट भिसा प्रकरणको छानबिन गर्न गृहमन्त्रीले राजीनामा गर्नुपर्छ : रास्वपा')"">भिजिट भिसा प्रकरणको छानबिन गर्न गृहमन्त्रीले राजीनामा गर्नुपर्छ : रास्वपा</a></h2>",राष्ट्रिय स्वतन्त्र पार्टीले भिजिट भिसा प्रकरणलाई निष्पक्ष छानबिन हुन दिनका लागि गृहमन्त्री रमेश लेखकले राजीनामा गर्नुपर्ने निष्कर्ष निकालेको छ ।
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/photo_feature/2025/06/02/nepalese-visitors-from-london-glasgow-and-ireland-to-dundee-58-58.html"" onclick=""gaEvent('Kantipur Top News','Clicked','लन्डन, ग्लास्गो र आयरल्यान्डबाट नेपाली दर्शक डन्डीमा')"">लन्डन, ग्लास्गो र आयरल्यान्डबाट नेपाली दर्शक डन्डीमा</a></h2>","नेपाल र स्कटल्यान्डबीच विश्वकप क्रिकेट लिग–२ को खेल हेर्न डन्डीमा बेलायतका विभिन्न स्थानबाट दर्शक ओइरिएका छन् । फोर्थहिलमा इंग्ल्यान्डको लन्डन, लिभरपुलसहित स्कटल्यान्डको ग्लास्गो, एडेनब्रोबाट नेपालको खेल हेर्न दर्शक डन्डी आइपुगेका हुन् । आयरल्यान्डबाट दर्शकहरू नेपालको खेल हेर्न आएका छन् ।"
,केही महिनाअघिसम्म अमेरिकी राष्ट्रपति डोनाल्ड ट्रम्प र उनका ‘अत्यन्तै निकट मित्र’ मानिने धनाढ्य अर्बपति इलन मस्कबीचको ब्रोमान्स छताछुल्ल देखिन्थ्यो । अमेरिकी सरकार र राजनीतिमा पहुँच बनाउन सिपालु मानिएका उद्यमी मस्कको राजनीतिक चमक-धकम साढे चार महिनामै अहिले एकाएक मन्द भएको छ । उनले यसै साता सरकारी दक्षता विभागअन्तर्गत 'विशेष सरकारी कर्मचारी’ को जिम्मेवारीबाट औपचारिक रूपमै अलग भएको घोषणा पनि गरेका छन् ।
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/news/2025/06/02/meeting-of-major-three-parties-prime-ministers-request-to-end-the-impasse-in-parliament-46-56.html"" onclick=""gaEvent('Kantipur Top News','Clicked','प्रमुख तीन दलको बैठक: संसद्को गतिरोध अन्त्यका लागि प्रधानमन्त्रीको आग्रह')"">प्रमुख तीन दलको बैठक: संसद्को गतिरोध अन्त्यका लागि प्रधानमन्त्रीको आग्रह</a></h2>",प्रधानमन्त्री एवं एमाले अध्यक्ष केपी शर्मा ओलीले प्रतिनिधिसभाको गतिरोध अन्त्य गर्ने वातावरण बनाउन आग्रह गरेका छन् ।
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/news/2025/06/02/what-happened-in-the-world-today-10-54.html"" onclick=""gaEvent('Kantipur Top News','Clicked','आज देश दुनियाँमा के-के भयो ?')"">आज देश दुनियाँमा के-के भयो ?</a></h2>",सोमबार कान्तिपुरमा सुदूरपश्चिमका पूर्वमुख्यमन्त्री सोडारीविरुद्ध भ्रष्टाचार मुद्दा दायरदेखि सत्तारुढ एमालेको ‘म झोले हो’ डिजिटल अभियान सुरुसम्मका समाचार छापिएका छन् । 
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/sports/2025/06/02/huge-target-by-scotland-to-nepal-37-48.html"" onclick=""gaEvent('Kantipur Top News','Clicked','स्कटल्यान्डद्वारा नेपाललाई विशाल लक्ष्य')"">स्कटल्यान्डद्वारा नेपाललाई विशाल लक्ष्य</a></h2>",स्कटल्यान्डले विश्वकप क्रिकेट लिग–२ मा सोमबार नेपाललाई २ सय ९७ रनको लक्ष्य दिएको छ । नेपालका कप्तान रोहित पौडेलले डन्डीको फोर्थहिलमा टस जितेर ब्याटिङको निम्ता गरेपछि स्कटल्यान्डले निर्धारित ५० ओभरमा ७ विकेट गुमाई २ सय ९६ रन बनायो ।
"<h2 class=""""><a data-type=""title"" href=""https://ekantipur.com/lifestyle/2025/06/02/these-bad-habits-which-damage-the-liver-01-15.html"" onclick=""gaEvent('Kantipur Top News','Clicked','यी खराब बानी, जसले कलेजोलाई हानि पुर्‍याउँछन्')"">यी खराब बानी, जसले कलेजोलाई हानि पुर्‍याउँछन्</a></h2>",कलेजो हाम्रो शरीरको सबैभन्दा ठूलो र महत्वपूर्ण अंग हो । यो लगभग डेढ केजीको हुन्छ । हाम्रो शरीरमा कलेजोको ५ सयभन्दा बढी काम हुन्छ । कलेजोको सबैभन्दा महत्वपूर्ण काम भनेको मेटाबोलिजम अर्थात् शरीरले खानेकुरालाई ऊर्जा र आवश्यक तत्वमा रुपान्तरण गर्ने प्रक्रियामा सहयोग गर्नु हो ।
"<h2><a href=""https://ekantipur.com/advertorial/nepal-liquors"">नेपाल लिकर्सद्वारा भ्रामक समाचारको विषयमा खण्डन</a></h2>",नेपाल लिकर्सद्वारा भ्रामक समाचारको विषयमा खण्डन
"<h2><a href=""https://ekantipur.com/news/2025/06/02/delay-in-construction-of-drinking-water-project-is-not-acceptable-minister-yadav-07-21.html"" onclick=""gaEvent('Homepage Category','समाचार','खानेपानी आयोजना निर्माणमा ढिलासुस्ती किमार्थ स्वीकार्य छैन : मन्त्री यादव');"">खानेपानी आयोजना निर्माणमा ढिलासुस्ती किमार्थ स्वीकार्य छैन : मन्त्री यादव</a></h2>","खानेपानीमन्त्री प्रदीप यादवले नागरिकलाई स्वच्छ, सुरक्षित एवं शुद्ध खानेपानी वितरणका लागि निर्माणाधीन खानेपानी आयोजना निर्माणमा ढिलासुस्ती गर्ने ठेकेदारलाई उन्मुक्ति नदिने बताएका छन् । "
"<h2><a href=""https://ekantipur.com/news/2025/06/02/there-will-be-talks-between-the-government-and-transport-businessmen-again-tomorrow-56-01.html"" onclick=""gaEvent('Homepage Category','समाचार','सरकार र यातायात व्यवसायीबीच भोलि फेरि वार्ता हुने');"">सरकार र यातायात व्यवसायीबीच भोलि फेरि वार्ता हुने</a></h2>",सार्वजनिक यातायात नै ठप्प पारेर आन्दोलनमा उत्रिएको नेपाल यातायात व्यवसायी राष्ट्रिय महासंघ र सरकारबीचको आजको वार्ता निष्कर्षविहीन भएको छ । ६ बुँदामा सहमति नजिक पुगे पनि मुख्य मागमा भने सहमति जुट्न सकेन ।
"<h2><a href=""https://ekantipur.com/news/2025/06/02/negotiations-continue-between-the-government-and-the-transport-business-committee-close-to-agreement-on-6-points-discussion-continues-on-the-main-points-28-34.html"" onclick=""gaEvent('Homepage Category','समाचार','सरकार र यातायात व्यवसायीको वार्ता : मुख्य मागमै सहमति जुट्न सकस');"">सरकार र यातायात व्यवसायीको वार्ता : मुख्य मागमै सहमति जुट्न सकस</a></h2>",सार्वजनिक यातायात नै ठप्प पारेर आन्दोलनमा उत्रिएका नेपाल यातायात व्यवसायी राष्ट्रिय महासंघ र र सरकारबिचको वार्ता जारी छ । वार्तामा ६ बुँदामा सहमतिनजिक पुगे पनि मुख्य मागमा भने सहमति जुटेको छैन ।
"<h2><a href=""https://ekantipur.com/news/2025/06/02/90-people-charged-with-excessive-fares-through-ride-sharing-18-56.html"" onclick=""gaEvent('Homepage Category','समाचार','राइड सेयरिङमार्फत बढी भाडा लिने ९० जना कारबाहीमा');"">राइड सेयरिङमार्फत बढी भाडा लिने ९० जना कारबाहीमा</a></h2>",विभिन्न राइड सेयरिङ एपमार्फत गाडी नचलेको मौका छोपेर यात्रुहरुबाट बढी भाडा असुल गर्ने ९० जनालाई प्रहरीले कारबाही गरेको छ।  अफलाइन बसेर बार्गेनिङ गर्ने र देखाएको भन्दा बढी शुल्क असुल गर्ने ९० जनालाई कारबाही गरिएको नेपाल प्रहरीका प्रवक्ता प्रहरी वरिष्ठ उपरीक्षक रमेश थापाले जानकारी दिए । 
"<h2><a href=""https://ekantipur.com/news/2025/06/02/lumbini-cabinet-meeting-referral-of-civil-service-rules-to-public-service-commission-for-consultation-10-51.html"" onclick=""gaEvent('Homepage Category','समाचार','लुम्बिनी मन्त्रिपरिषद् बैठक : निजामती सेवा नियमावली परामर्शका लागि लोक सेवा आयोगमा पठाउने ');"">लुम्बिनी मन्त्रिपरिषद् बैठक : निजामती सेवा नियमावली परामर्शका लागि लोक सेवा आयोगमा पठाउने </a></h2>",लुम्बिनी प्रदेश सरकारको सोमबार बसेको मन्त्रिपरिषद्को बैठकलेप्रदेश निजामती सेवा (पहिलो संशोधन) नियमावली २०८२ प्रदेश लोकसेवा आयोगमा परामर्शका लागि पठाउने निर्णय गरेको छ ।
"<h2><a href=""https://ekantipur.com/sports/2025/06/02/nepal-heritage-run-on-may-24-53-16.html"" onclick=""gaEvent('Homepage Category','खेलकुद','नेपाल हेरिटेज रन जेठ २४ मा');"">नेपाल हेरिटेज रन जेठ २४ मा</a></h2>",यही जेठ २४ गते नेपाल हेरिटेज रन हुने भएको छ । ललितपुर र काठमाडौंको सम्पदालाई जोड्ने गरी उक्त रन गरिने आयोजक रेस नेपालले जनाएको छ ।
"<h2><a href=""https://ekantipur.com/sports/2025/06/02/nepal-lost-to-thailand-in-a-friendly-match-13-20.html"" onclick=""gaEvent('Homepage Category','खेलकुद','मैत्रीपूर्ण खेलमा थाइल्यान्डसँग नेपाल पराजित');"">मैत्रीपूर्ण खेलमा थाइल्यान्डसँग नेपाल पराजित</a></h2>",नेपाली महिला राष्ट्रिय फुटबल टिम मैत्रीपूर्ण अन्तर्राष्ट्रिय खेलमा सोमबार थाइल्यान्डसँग २–० ले पराजित भएको छ । पथुम थानीको धम्मासत रंगशालामा भएको खेलमा थाइल्यान्डले दुवै गोल दोस्रो हाफमा गरेको थियो ।
"<h2><a href=""https://ekantipur.com/sports/2025/06/02/preparations-zero-in-far-west-as-15th-presidential-games-approaches-00-35.html"" onclick=""gaEvent('Homepage Category','खेलकुद','१५औँ राष्ट्रपति खेलकुद नजिकिँदा सुदूरपश्चिममा तयारी शून्य');"">१५औँ राष्ट्रपति खेलकुद नजिकिँदा सुदूरपश्चिममा तयारी शून्य</a></h2>",१५औँ राष्ट्रपति रनिङ शिल्ड खेलकुद प्रतियोगिता नजिकिँदै गर्दा सुदूरपश्चिम प्रदेशका खेलाडी प्रदेशस्तरीय छनोट प्रतियोगिता नहुनाले अन्योलमा परेका छन्। यही जेठ २८ देखि ३० गतेसम्म काठमाडौंमा हुने प्रतियोगितामा सहभागिताका लागि तयारी गर्नुपर्नेमा प्रदेशले अझै प्रतियोगिता आयोजना गर्न सकेको छैन।
"<h2><a href=""https://ekantipur.com/sports/2025/06/02/nepal-won-the-toss-scotland-batted-43-06.html"" onclick=""gaEvent('Homepage Category','खेलकुद','नेपालले टस जित्यो, स्कटल्यान्ड ब्याटिङमा');"">नेपालले टस जित्यो, स्कटल्यान्ड ब्याटिङमा</a></h2>",नेपालले विश्वकप क्रिकेट लिग–२ को सोमबारको खेलमा स्कटल्यान्डलाई ब्याटिङका लागि बोलाएको छ । नेपालका कप्तान रोहित पौडेलले डन्डीको फोर्थहिलमा टस जितेर बलिङ गर्ने निर्णय गरेका हुन् ।
"<h2><a href=""https://ekantipur.com/sports/2025/06/02/announcement-of-nepali-national-football-team-36-06.html"" onclick=""gaEvent('Homepage Category','खेलकुद','नेपाली राष्ट्रिय फुटबल टिमको घोषणा');"">नेपाली राष्ट्रिय फुटबल टिमको घोषणा</a></h2>",नेपाली राष्ट्रिय पुरुष फुटबल टिमका मुख्य प्रशिक्षक म्याट रसले सोमबार हङकङ र लाओसविरुद्धको अन्तर्राष्ट्रिय खेलका लागि २३ सदस्यीय टिम घोषणा गरेका छन् । नेपालले जुन ५ मा हङकङविरुद्ध मैत्रीपूर्ण अन्तर्राष्ट्रिय खेल खेल्दैछ ।
"<h2><a href=""https://ekantipur.com/world/2025/06/02/ukraines-drone-attack-on-russian-military-base-claims-to-have-destroyed-41-russian-military-aircraft-44-12.html"" onclick=""gaEvent('Homepage Category','विश्व','रुसी सैन्य बेसमा युक्रेनको ड्रोन आक्रमण, ४१ रुसी सेनाका विमान ध्वस्त पारेको दाबी');"">रुसी सैन्य बेसमा युक्रेनको ड्रोन आक्रमण, ४१ रुसी सेनाका विमान ध्वस्त पारेको दाबी</a></h2>",युक्रेनले आर्कटिक र साइबेरियासहितका चारवटा एयरफिल्डमा रहेका ४१ रुसी सेनाका विमान ध्वस्त पारेको अन्तर्राष्ट्रिय सञ्चारमाध्यमहरूले जनाएका छन् । अलजजिराले लामो दूरीमा बम प्रहार गर्न सक्ने सुपरसोनिक टियु-२२एम सहित पूर्व सुचना दिने ए-५० सहितका विमानमाथि युक्रेनले प्रहार गरेको जनाएको छ ।
"<h2><a href=""https://ekantipur.com/world/2025/06/02/8-injured-in-molotov-cocktail-attack-in-colorado-23-00.html"" onclick=""gaEvent('Homepage Category','विश्व','\'मोलोतोभ ककटेल\' को आक्रमणमा कोलोराडोमा ८ जना घाइते');"">'मोलोतोभ ककटेल' को आक्रमणमा कोलोराडोमा ८ जना घाइते</a></h2>",अमेरिकाको कोलोराडोको बोल्डरस्थित पर्ल स्ट्रिट मलमा भएको आक्रमणमा परी आठ जना घाइते भएका छन् । अन्तर्राष्ट्रिय सञ्चार माध्यमका अनुसार आइतबार इज्रायली बन्धकहरूको समर्थनमा भेला भएका मानिसहरूलाई ‘फ्री प्यालेस्टाइन’ भनेर चिच्याउँदै एक व्यक्तिले ‘मोलोतोभ ककटेल’ फाल्दा आठ जना घाइते भएका हुन् ।
"<h2><a href=""https://ekantipur.com/world/2025/06/02/meteorological-departments-red-alert-in-assam-and-meghalaya-27-49.html"" onclick=""gaEvent('Homepage Category','विश्व','आसाम र मेघालयमा मौसम विभागको ‘रेड अलर्ट’');"">आसाम र मेघालयमा मौसम विभागको ‘रेड अलर्ट’</a></h2>",आउने साता भारतको उत्तर पूर्वी राज्यहरू आसाम र मेघालयमा अति भारी वर्षा हुने भन्दै उच्च सतर्कता अपनाउन भारतको मौसम विभागले ‘रेड अलर्ट’ जारी गरेको छ ।
"<h2><a href=""https://ekantipur.com/world/2025/06/02/nepali-art-and-culture-reflected-in-americas-new-jersey-51-52.html"" onclick=""gaEvent('Homepage Category','विश्व','अमेरिकाको न्यूजर्सीमा झल्कियो नेपाली कला र संस्कृति');"">अमेरिकाको न्यूजर्सीमा झल्कियो नेपाली कला र संस्कृति</a></h2>","अमेरिकाको न्यूजर्सी राज्यका नेपालीले आफ्नो मौलिकतासहित नेपालको कला र संस्कृति झल्काएका छन् । न्यूजर्सीमा पहिलो पटक मनाइएको नेपाल डे परेडमा करिब एक हजार बढी नेपालीले आफ्नो सामुदायिक पहिचान, मौलिकतासहित नेपालको भेषभुषा, बाजागाजासहित मुख्य बजार क्षेत्रमा र्‍याली निकाल्दै कला र संस्कृति झल्काएका हुन् ।"
"<h2><a href=""https://ekantipur.com/world/2025/06/02/israeli-defense-minister-warns-hamas-to-destroy-all-hostages-45-28.html"" onclick=""gaEvent('Homepage Category','विश्व','सबै बन्धकलाई नछाडे ध्वस्त पार्ने हमासलाई इजरायली रक्षामन्त्रीको चेतावनी ');"">सबै बन्धकलाई नछाडे ध्वस्त पार्ने हमासलाई इजरायली रक्षामन्त्रीको चेतावनी </a></h2>",इजरायलका रक्षामन्त्री इजरायल कात्जले इजरायली रक्षा बल गाजामा पूरै शक्तिका साथ काम गरिरहेको बताएका छन् । 
